"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","symbol"
"AT3G45330",42.7747468282136,3.66332938988303,0.958534336732915,3.8218029855552,0.00013247951360124,0.000982738152791445,"LecRK-I.1"
"AT3G03440",264.703089539964,2.37622945043819,0.369650706231595,6.4283103220948,1.29030124790189e-10,1.63065754048869e-08,NA
"AT3G05500",3102.18027785966,2.6923956017949,0.411096430101268,6.54930426209653,5.78057515816469e-11,8.74512414073879e-09,"LDAP3"
"AT3G26830",1728.96793037906,3.81836882019965,0.997013527864201,3.82980643038951,0.00012824409763844,0.000956798836448631,"CYP71B15"
"AT3G07600",23.4107057267192,2.84886545673079,0.837114877640567,3.40319534728663,0.000666026430082235,0.003595744670457,NA
"AT3G11000",17.1254808660583,3.26949382927893,0.866843875755115,3.77172166836945,0.000162125041449463,0.00115045750786968,NA
"AT3G46080",428.856160761923,2.81132634404959,0.900084673222578,3.12340208392193,0.00178773337881768,0.00800617156641642,"ZAT8"
"AT3G54510",28.1328265432975,-7.21860078703847,1.36160465344829,-5.30153945108608,1.14830226351772e-07,3.36629599910443e-06,"OSCA2.5"
"AT3G13100",480.318164701215,2.10089595931657,0.528295259732276,3.97674580760244,6.98647766524014e-05,0.000588385762250171,"ABCC7"
"AT3G02410",283.446150497521,-2.81938038200466,0.582721621200391,-4.83829718931111,1.30956230192851e-06,2.41691792250849e-05,"ICME-LIKE2"
"AT3G16370",2640.42428664057,-3.19105229124761,0.702322875145698,-4.54356878321188,5.53097461816017e-06,7.75608795236723e-05,"GGL19"
"AT3G22231",3900.96991456771,2.89525721980422,0.865091651830738,3.34676356392663,0.00081760913692998,0.00424705939148139,"PCC1"
"AT3G18260",24.8642318949081,2.66590714466126,0.608893004682045,4.37828505856026,1.19616831465402e-05,0.000143732483494266,"RTNLB9"
"AT3G13433",21.6991124262527,4.38184030426771,1.40043581950069,3.12891190246048,0.00175454904340244,0.00788481861959214,NA
